,val_calls,grad_calls,tempo
ARGLINA,0.0,3.0,0.0032559130000002767
ARGLINB,0.0,44.0,0.11213933400000009
BA-L1SPLS,0.0,-100002.0,0.0
BIGGS6,0.0,9.0,0.00015680899999637177
BROWNAL,0.0,-100002.0,0.0
COATING,0.0,-100002.0,0.0
FLETCHCR,0.0,-100002.0,0.0
GAUSS2LS,0.0,-100002.0,0.0
GENROSE,0.0,37592.0,4.172937053999988
HAHN1LS,0.0,2.0,1.6187999989369928e-05
HEART6LS,0.0,-100002.0,0.0
HILBERTB,0.0,9.0,0.0013986269999861634
HYDCAR6LS,0.0,-100002.0,0.0
LANCZOS1LS,0.0,-100002.0,0.0
LANCZOS2LS,0.0,-100002.0,0.0
LRIJCNN1,0.0,68.0,0.2612725859999898
LUKSAN12LS,0.0,-100002.0,0.0
LUKSAN16LS,0.0,2.0,2.8713999995488848e-05
OSBORNEA,0.0,-100002.0,0.0
PALMER1C,0.0,-100002.0,0.0
PALMER3C,0.0,-100002.0,0.0
PENALTY2,0.0,-100002.0,0.0
PENALTY3,0.0,-100002.0,0.0
QING,0.0,90.0,0.02803269400010322
ROSENBR,0.0,-100002.0,0.0
STRTCHDV,0.0,52.0,0.015017461000070398
TESTQUAD,0.0,1498.0,0.26641612999992503
THURBERLS,0.0,6.0,0.0011450839999724849
TRIGON1,0.0,-100002.0,0.0
TOINTGOR,0.0,195.0,0.03750999499993668
